Family,Species,Hunting Method/Web Usage,Record,Body Length Total,Ceph Length,Ceph Width,Abdom Length,Abdom Width,Leg I Fe,Leg I Pa,Leg I Ti,Leg I Mt,Leg I Ta,Leg II Fe,Leg II Pa,Leg II Ti,Leg II Mt,Leg II Ta,Leg III Fe,Leg III Pa,Leg III Ti,Leg III Mt,Leg III Ta,Leg IV Fe,Leg IV Pa,Leg IV Ti,Leg IV Mt,Leg IV Ta
Idiopidae,Cataxia spinipectoris,Burrow,QMS8921,16.5,9.2,6.5,7.3,4.5,6.3,3.3,4.3,3.3,1.7,5.5,2,4,2.8,1.8,3.9,2.5,3.2,2.3,1.5,6.3,3.3,4.7,4.2,2.5
Idiopidae,Homogona cunicularis,Burrow,QMS22522,28.2,12.6,8.4,15.6,8.7,7.5,4.2,4.6,NA,3.9,6.1,3.3,5.5,4.3,3,5.3,3.4,3.8,4.2,3,8.5,4.8,6,4.9,3
Idiopidae,Idiosoma berlandi,Burrow,KS9109,23.2,10.2,8,13,9.8,6.5,3.1,4.1,2.9,2.2,6,3.7,3.5,3,2.5,5,3.2,2.5,3,2.2,7.2,4.7,4.7,4.5,3
Idiopidae,Misgolas dereki,Burrow,KS51164,22.988,11.164,8.694,11.824,8.968,8.767,4.496,5.138,3.484,2.833,8.203,3.709,4.571,2.902,1.609,7.535,2.416,3.721,3.607,3.261,8.826,5.243,7.471,5.589,2.394
Idiopidae,Misgolas gracilis,Burrow,KS34815,22.173,8.602,6.486,13.571,9.151,6.261,2.912,3.2,2.288,1.833,6.08,2.03,2.99,2.811,2.163,5.282,2.534,2.812,1.852,1.509,5.679,2.498,4.912,4.809,2.401
Idiopidae,Misgolas kirstiae,Burrow,KS36678,14.896,7.466,5.755,7.43,5.278,3.548,2.047,2.361,3.126,1.226,2.108,2.541,2.14,1.698,1.55,4.095,2.047,1.986,2.13,1.38,4.87,2.61,3.279,3.03,2.024
Idiopidae,Misgolas melancholicus,Burrow,KS50092,18.463,9.392,7.116,9.071,5.777,6.066,1.98,3.878,3.183,2.28,5.774,1.915,3.477,2.694,1.481,4.124,1.658,2.009,2.564,1.689,6.176,2.191,4.821,4.217,2.61
Lamponidae,Centrina blundells,Ground hunter,KS13867,5.549,2.528,1.636,3.021,1.735,1.839,0.888,1.547,1.354,0.944,1.766,0.609,1.623,1.159,0.661,1.767,0.627,1.335,1.012,0.871,2.255,0.702,1.909,1.962,0.916
Lamponidae,Centrina bondi,Ground hunter,KS63817,6.798,3.091,2.032,3.707,2.075,2.537,0.414,1.793,1.71,0.807,2.625,0.987,2.123,1.756,1.231,2.417,0.677,1.039,1.84,1.176,3.25,0.848,2.725,2.025,0.863
Lamponidae,Centrina keira,Ground hunter,KS29709,7.525,2.959,2.635,4.566,2.46,2.626,0.966,2.111,2.039,2.098,2.394,1.113,1.92,2.198,1.268,2.314,0.907,1.758,2.073,1.049,2.901,1.108,2.447,2.778,1.278
Lamponidae,Centrina kota,Ground hunter,KS127811,5.369,2.454,1.816,2.915,2.159,1.579,0.705,1.447,1.29,0.427,1.564,0.597,1.328,1.138,0.546,1.379,0.7,1.081,1.381,0.653,1.81,0.667,1.427,NA,NA
Lamponidae,Centroina sherbrook,Ground hunter,K3631,6.252,2.733,1.946,3.519,1.814,1.8,0.781,1.703,1.382,0.943,2.083,0.822,1.43,1.263,0.723,1.668,1.112,0.81,0.979,0.631,2.255,0.656,1.642,2.41,1.226
Lamponidae,Centrothele gordon,Ground hunter,KS42884,9.807,3.702,2.776,6.105,3.676,1.268,0.658,0.796,1.189,NA,NA,NA,NA,NA,NA,2.151,1.259,1.965,2.129,1.011,2.604,1.1,NA,NA,NA
