Family,Species,Hunting Method/Web Usage,Record,Body Length Total,Ceph Length,Ceph Width,Abdom Length,Abdom Width,Leg I Fe,Leg I Pa,Leg I Ti,Leg I Mt,Leg I Ta,Leg II Fe,Leg II Pa,Leg II Ti,Leg II Mt,Leg II Ta,Leg III Fe,Leg III Pa,Leg III Ti,Leg III Mt,Leg III Ta,Leg IV Fe,Leg IV Pa,Leg IV Ti,Leg IV Mt,Leg IV Ta
Lycosidae,Venatrix funesta,Ground hunter,KS118863,16.978,6.917,4.92,10.061,7.484,3.856,1.895,3.062,3.282,2.099,3.345,1.581,2.361,2.662,1.981,3.764,1.565,2.335,2.986,1.456,4.95,2.093,3.637,4.183,1.939
Lycosidae,Venatrix furcillata,Ground hunter,KS58015,10.211,4.574,3.089,5.637,3.73,3.3,1.556,2.022,2.714,1.326,2.499,1.494,1.608,2.137,1.373,2.903,1.183,1.689,1.653,1.51,3.951,1.606,2.523,3.422,1.213
Lycosidae,Venatrix hickmani,Ground hunter,KS120440,10.332,4.963,3.935,5.369,3.587,3.743,1.673,2.512,2.119,1.661,2.866,1.537,1.951,1.712,1.234,2.828,1.384,1.852,1.652,1.02,4.196,1.353,2.85,3.977,1.552
Lycosidae,Venatrix konei,Ground hunter,KS84539,7.101,2.873,1.994,4.228,2.669,2.175,0.67,1.737,1.269,0.928,1.816,0.87,0.961,1.309,1.188,1.917,0.663,1.09,1.634,0.843,2.69,0.86,2.018,2.912,1.292
Lycosidae,Venatrix lapidosa,Ground hunter,KS124479,22.513,9.277,5.691,13.236,7.714,6.533,2.306,4.026,4.372,2.848,5.592,3.145,5.939,4.177,2.973,6.786,2.792,4.737,5.997,3.629,7.867,3.239,6.851,8.349,4.336
Lycosidae,Venatrix mckayi,Ground hunter,KS108432,12.044,6.734,5.715,5.31,3.685,4.246,1.929,3.319,3.287,2.194,3.761,2.125,2.356,2.892,2.009,3.677,1.862,2.378,3.258,1.876,4.975,2.025,3.524,5.463,1.895
Lycosidae,Venatrix ornatula,Ground hunter,QMS19151,7.4,4,3,3.4,2.8,2.5,NA,NA,1.8,1.3,2.4,NA,NA,1.8,1.2,2.3,NA,NA,2.1,1.1,3.1,NA,NA,3.4,1.6
Lycosidae,Venatrix pictiventris,Ground hunter,KS122939,11.3,6.15,4.25,5.15,3.5,3.75,1.25,2.5,2.6,1.5,3.25,1.5,2.1,1.45,1.25,2.35,1.5,1.25,2.45,1.5,3.05,1.75,2.85,3.5,1.75
Lycosidae,Venatrix pseudospeciosa,Ground hunter,KS38118,6.324,3.352,2.587,2.972,2.226,2.356,1.014,1.561,1.296,0.847,2.237,0.904,1.352,1.353,1.025,2.128,0.932,1.127,1.564,0.913,2.476,1.207,1.9,2.484,1.197
Lycosidae,Venatrix speciosa,Ground hunter,KS21379,11.684,5.665,4.245,6.019,4.56,3.622,1.752,3.019,2.721,1.82,3.432,1.445,2.395,2.566,1.815,3.361,1.484,1.875,2.876,1.662,4.335,1.911,3.587,4.207,2.099
Lycosidae,Venonia micarioides,Sheet web,KS80386,3.85,1.75,1.15,2.1,1.35,1.375,0.375,1,1,0.775,1.15,0.375,0.9,0.75,0.675,1.15,0.375,0.875,1,0.625,1.5,0.375,1.3,1.525,0.525
Malkaridae,Malkara loricata,Ground hunter,QMS682,2.84,1.17,NA,1.67,NA,1.08,0.52,0.8,0.48,0.44,0.88,0.44,0.68,0.44,0.4,0.72,0.4,0.6,0.44,0.4,1,0.44,0.84,0.64,0.48
Malkaridae,Nanarchaea binnaburra,Ground hunter,None,1.535,0.581,0.456,0.954,0.747,0.381,0.149,0.282,0.166,0.323,0.299,0.141,0.282,0.166,0.29,0.332,0.124,0.249,0.149,0.24,0.456,0.274,0.34,0.232,0.332
Microstigmatidae,Xamiatus rubrifrons,Burrow,QMS706,25.85,12.55,10.5,13.3,10.38,9.45,5.3,6.5,5.5,3.55,8.04,4.25,5.4,5.6,3.9,7.65,4.35,4.85,6.3,3.82,9.2,5.43,7.05,9.42,4.4
Mimetidae,Australomimetus aurioculatus,Ground hunter,KS30703,3.096,1.295,0.863,1.801,1.695,2.809,0.525,2.935,1.99,0.322,2.038,0.51,1.727,1.333,0.66,1.215,0.353,0.634,0.687,0.431,1.622,0.4,1.197,0.922,0.455
Mimetidae,Australomimetus burnetti,Ground hunter,KS71730,5.09,2.341,1.561,2.749,2.782,3.495,0.72,3.233,3.047,1.15,2.536,0.575,2.228,1.747,0.723,1.981,0.484,1.412,1.427,0.653,2.511,0.632,1.647,1.716,0.732
Mimetidae,Australomimetus daviesianus,Ground hunter,None,5.3,2.2,1.4,3.1,2.9,4.1,1,4.2,3.5,1.6,3,0.8,2.8,2.6,1.1,2,0.5,1.3,1.3,0.8,2.7,0.6,2.1,1.9,0.9
Mimetidae,Australomimetus hartleyensis,Ground hunter,KS7359,4.663,2.263,1.598,2.4,2.483,3.262,0.909,3.114,2.225,1.879,2.663,0.627,2.242,2.049,1.074,1.742,0.463,1.437,1.343,0.727,2.635,0.495,1.974,1.238,0.903
Mimetidae,Australomimetus kioloensis,Ground hunter,None,6.9,3.5,2.4,3.4,2.2,4.3,1.2,4.9,4.1,1.4,3.1,1.2,3.3,2.9,1.4,2.7,1.1,2,2,1.1,3.4,1.1,2.3,2.5,1.3
Mimetidae,Australomimetus maculosus,Ground hunter,KS65029,4.987,2.092,1.413,2.895,2.321,3.639,0.866,3.716,3.2,1.371,2.661,0.768,2.593,1.74,0.869,1.412,0.537,0.942,1.032,0.445,2.238,0.535,1.62,1.673,0.861
Mimetidae,Australomimetus pseudomaculosus,Ground hunter,KS75349,4.373,2.203,1.461,2.17,1.89,3.818,0.983,4.056,4.048,1.139,3.108,0.831,2.899,2.599,1.16,1.776,0.372,1.3,1.26,0.475,1.499,0.581,2.102,1.924,0.448
Mimetidae,Australomimetus spinosus,Ground hunter,None,3.5,1,1.4,2.5,2.6,3.7,0.7,3.7,2.7,1.1,2.6,0.6,2.5,1.8,0.8,1.5,0.3,1.1,0.9,0.5,2,0.5,1.5,1.4,0.6
Mimetidae,Australomimetus subspinosus,Ground hunter,None,3.5,1.8,1.3,1.7,1.4,4.2,0.8,4.7,4.1,1.3,3.1,0.6,3,2.4,1.2,1.8,0.4,1.3,1.3,0.8,2.1,0.5,1.9,1.8,0.8
Mimetidae,Australomimetus sydneyensis,Ground hunter,KS70906,3.701,1.691,1.391,2.01,2.133,3.397,0.811,3.312,2.834,1.268,2.545,0.758,2.465,2.117,0.56,1.78,0.587,1.284,0.713,0.292,2.135,0.585,1.807,2.213,0.532
Mimetidae,Australomimetus tasmaniensis,Ground hunter,KS61051,3.227,1.406,0.839,1.821,1.464,1.291,0.483,1.161,0.781,0.497,1.133,0.529,0.955,0.667,0.363,0.822,0.375,0.895,NA,NA,1.638,0.533,1.26,1.217,0.446
Mimetidae,Australomimetus triangulosus,Ground hunter,None,3.4,1.4,1.1,2,2.5,3.4,0.4,3.1,2.9,1.3,2.5,0.4,2.4,2.1,1,1.5,0.2,1.2,1,0.7,1.8,0.3,1.6,1,0.6
Miturgidae,Argoctenus vittatus,Ground hunter,KS77029,6.934,3.892,3.618,3.042,2.305,3.872,1.325,3.009,2.594,1.771,3.971,1.81,2.585,2.578,1.409,3.306,1.043,2.901,2.652,1.575,3.229,1.329,3.522,3.978,1.684
Miturgidae,Mituliodon tarantulinus,Ground hunter,KS107165,12.841,7.038,5.444,5.803,4.542,5.629,1.56,3.82,2.366,1.335,5.021,2.276,4.325,2.774,1.767,4.672,1.643,2.954,3.298,1.845,5.924,2.385,4.96,3.589,1.817
Miturgidae,Miturga agelenina,Sheet web,KS10413,19.94,9.997,7.733,9.943,9.192,8.239,3.181,7.474,5.708,3.479,8.944,2.959,6.776,6.056,3.651,6.698,2.11,5.614,5.102,3.257,9.339,3.133,8.298,7.836,3.538
Miturgidae,Miturga gilva,Sheet web,KS42935,10.35,5.2,2.65,5.15,5.5,6.1,2.75,5.6,4.5,2.75,4,2.05,5.1,3.75,2.85,5,2.65,4.1,3.75,2.05,5.75,2.7,5.6,5.7,2.6
Miturgidae,Nuliodon fishburni,Ground hunter,QMS72601,4.99,2.18,1.63,2.81,1.75,1.31,0.91,1.13,0.81,0.63,1.16,0.84,1,0.72,0.53,1.09,0.72,0.84,0.72,0.53,1.78,0.84,1.38,1.59,0.63
Miturgidae,Tuxoctenus gloverae,Ground hunter,QMS32434,3.42,1.46,1.23,1.96,1.31,1.18,0.66,1.02,0.81,0.44,1.14,0.5,0.96,0.79,0.62,1.14,0.48,0.81,0.87,0.73,1.56,0.54,1.29,1.43,0.73
Nemesiidae,Aname barrema,Burrow,QMS1239,22.92,10.52,8.3,12.4,8.2,7.75,4.69,4.75,4.38,2.75,6.63,4.19,4,4.06,2.69,5.56,3.5,2.81,3.81,2.31,7.25,4.06,4.69,5.44,2.63
Nemesiidae,Aname camara,Burrow,QMS1251,14.07,5.94,4.5,8.13,5,4.25,2.88,2.81,2.38,1.63,3.88,2.38,2.25,2.06,1.44,3.06,1.94,1.44,1.88,1.19,4.31,2.5,2.94,2.13,1.44
Nemesiidae,Aname distincta,Burrow,KS34490,21.33,10,8,11.33,6.67,7.16,5.1,5.03,4.13,2.39,6.45,4.39,4.06,3.87,2.32,5.48,3.61,3.03,4.13,2.26,6.9,4.19,4.84,5.87,2.9
Nemesiidae,Aname pallida,Burrow,QMS11179,18.3,10.9,8,7.4,4.2,6.1,4.6,4.2,4.5,2.4,6.5,4.3,3.95,4.2,2.55,7.4,2.2,3.3,4.5,2.4,8.7,3.8,4.5,5,2.4
Nemesiidae,Chenistonia earthwatchorum,Burrow,QMS1209,14.03,5.63,4.92,8.4,5.2,3.92,2.64,2.8,2.64,1.68,3.6,2.24,2.24,2.32,1.48,3.24,1.84,1.76,2.56,1.32,4.2,2.12,3.08,3.84,1.6
Nemesiidae,Ixamatus barina,Burrow,QMS602,16.58,7.38,5.63,9.2,5.8,5.31,3.38,3.75,3.13,1.69,4.69,3,3,2.94,1.75,4.13,2.44,2.44,3.06,1.69,5.38,2.88,4.06,4.31,2
Nemesiidae,Ixamatus caldera,Burrow,QMS627,11.25,5.06,4.06,6.19,4.38,5.81,2.38,2.56,2.06,1.31,3.13,2,2.13,1.94,1.31,3,1.69,1.75,2.06,1.25,3.81,2,2.81,3.06,1.5
Nemesiidae,Ixamatus candidus,Burrow,QMS642,17,7.94,5.88,9.06,5.88,5.25,3.19,3.75,2.56,1.5,4.63,2.88,2.88,2.5,1.69,4.06,2.63,2.19,2.81,1.56,5.31,2.88,3.75,4.06,1.81
Nemesiidae,Ixamatus webbae,Burrow,QMS732,14.34,5.94,5.5,8.4,6,4.19,3,3.13,2.5,1.5,3.88,2.63,2.56,2.25,1.38,3.44,2.06,2,2.56,1.44,4.56,2.56,3.38,3.81,1.69
Nemesiidae,Kiama lachrymoides,Burrow,KS21529,15.202,7.015,6.341,8.187,5.361,3.908,1.589,2.264,2.609,1.898,3.61,1.151,1.469,1.242,1.06,3.312,3.198,1.726,2.183,2.861,4.643,2.264,2.022,2.702,2.549
Nemesiidae,Namea brisbanensis,Burrow,QMS768,19.95,10.6,8.2,9.35,6.72,7.69,5,5.13,4.56,2.81,6.75,4.38,4.31,4.19,2.75,5.81,3.5,3.19,4.5,2.25,7.88,4.38,5.44,6.94,2.81
Nemesiidae,Namea calcaria,Burrow,QMS791,8.84,4.28,3.48,4.56,2.81,2.52,1.88,1.88,1.48,1.32,2.08,1.64,1.44,1.4,0.88,2,1.36,1.12,1.56,0.92,2.56,1.48,1.92,2.28,1.08
Nemesiidae,Namea capricornia,Burrow,QMS761,10.51,4.88,3.5,5.63,3.75,3.48,2.28,2.4,2,1.24,2.96,1.92,1.96,1.84,1.12,2.64,1.64,1.44,2.16,1.16,3.68,2,2.76,3.24,1.4
Nemesiidae,Namea dahmsi,Burrow,QMS801,19.29,8.87,7.46,10.42,6.88,6.63,4.31,4.69,3.94,2.25,5.63,3.75,3.81,3.88,2.25,5,3.13,2.69,4.06,2.19,6.44,3.63,4.56,5.81,2.5
Nemesiidae,Namea flavomaculata,Burrow,QMS1190,22.11,9.81,8.13,12.3,7.8,7.06,4.69,5,4.38,2.5,6.25,4.06,4.13,3.94,2.44,5.25,3.38,3,4.19,2.31,7.31,3.94,5.19,6.38,2.81
Nemesiidae,Namea nebulosa,Burrow,QMS835,13.69,6.56,5.34,7.13,4.88,4.69,3,3.06,2.88,1.56,4.06,2.63,2.63,2.44,1.63,3.44,2.25,1.83,2.81,2.06,4.75,2.63,3.5,4.25,1.69
Nemesiidae,Namea salantiri,Burrow,QMS1167,22.15,9.05,6.76,13.1,9.7,6.38,4.13,4.5,3.25,2.38,5.38,3.56,3.69,3.56,2.19,4.69,3.13,2.63,4.06,2.38,6.19,3.63,4.75,5.75,2.44
Nemesiidae,Stanwellia grisea,Burrow,KS8234,19.027,7.901,6.039,11.126,8.839,5.973,3.142,3.872,3.057,2.297,6.475,2.424,3.86,3.452,2.921,5.522,1.65,2.515,2.32,1.828,6.55,2.618,5.045,5.387,3.034
Nemesiidae,Stanwellia hoggi,Burrow,KS126103,14.986,5.811,4.339,9.175,5.089,4.545,2.13,3.301,2.602,2.211,4.069,1.587,2.796,2.81,1.997,3.526,2.128,1.973,2.504,1.634,4.955,2.002,3.613,3.85,2.103
Nicodamidae,Ambicodamus audax,Sheet web,QMS19715,5.82,2.42,2.29,3.4,2.9,2.25,0.83,2.1,1.86,0.79,2.1,0.8,1.85,1.68,0.8,1.73,0.76,1.28,1.27,0.73,2.34,0.93,1.88,1.86,0.9
Nicodamidae,Ambicodamus darlingtoni,Sheet web,KS103420,4.688,2.059,2.041,2.629,2.253,1.993,0.614,1.545,1.536,0.76,1.616,0.603,1.436,1.315,0.76,1.246,0.69,0.993,0.888,0.68,1.643,0.721,1.623,1.372,0.644
Nicodamidae,Ambicodamus sororius,Sheet web,KS101654,5.35,1.75,2.125,3.6,3.675,2.125,0.525,1.65,1.55,0.65,1.8,0.425,1.25,1.125,0.475,1.5,0.375,0.875,1.25,0.625,2.125,0.65,1.6,1.675,0.625
Nicodamidae,Ambicodamus southwelli,Sheet web,KS28752,5.716,1.97,2.21,3.746,2.531,1.892,0.647,1.64,1.716,0.789,1.735,0.528,1.067,1.374,0.604,1.676,0.629,1.094,1.129,0.69,2.256,0.763,1.948,1.218,0.695
Nicodamidae,Dimidamus dimidiatus,Sheet web,KS128696,4.445,1.7,2.041,2.745,1.826,1.469,0.424,1.571,1.808,0.773,1.839,0.45,1.58,2.156,0.471,1.819,0.593,1.34,1.412,0.626,2.165,0.401,1.35,2.117,0.965
Nicodamidae,Nicodamus peregrinus,Sheet web,KS22045,12.063,3.731,3.97,8.332,7.035,4.098,1.327,3.791,4.066,1.35,4.241,1.541,3.346,3.885,1.269,3.668,1.569,2.647,2.894,1.44,4.468,1.233,3.889,4.844,1.238
Nicodamidae,Novodamus nodatus,Sheet web,KS128412,5.276,2.135,1.663,3.141,2.117,1.968,0.647,1.373,1.216,0.659,1.736,0.59,1.329,1.43,0.51,1.466,0.705,0.902,1.007,0.56,2.008,0.808,1.421,1.283,0.518
Nicodamidae,Oncodamus bidens,Sheet web,KS127535,3.795,1.773,1.307,2.022,1.75,1.636,0.413,0.947,1.418,0.631,1.167,0.353,0.701,1.19,0.31,1.095,0.56,1.623,1.387,0.781,1.661,0.384,1.419,1.597,0.594
Nicodamidae,Oncodamus decipiens,Sheet web,QMS15331,4.85,2,1.8,2.85,1.75,2,0.7,1.45,1.7,0.7,1.9,0.65,1.25,1.3,0.65,1.5,0.6,1,0.9,0.5,1.925,0.45,1.4,1.475,0.65
Orsolobidae,Tasmanoonops minutus,Ground hunter,None,1.88,0.84,0.64,1.04,0.68,0.6,0.32,0.48,0.48,0.24,0.56,0.32,0.48,0.4,0.23,0.52,0.28,0.36,0.36,0.22,0.68,0.28,0.52,0.6,0.25
Orsolobidae,Tasmanoonops oranus,Ground hunter,None,4.16,1.76,1.28,2.4,1.68,1.76,0.72,1.52,1.44,0.64,1.62,0.64,1.52,1.44,0.56,1.52,0.48,1.12,1.36,0.56,2,0.72,1.62,2.08,0.64
Orsolobidae,Tasmanoonops parvus,Ground hunter,None,4.75,1.95,1.35,2.8,1.72,1.31,0.59,1.05,1.15,0.49,1.39,0.68,1.09,1.15,0.49,1.22,0.51,0.89,1.02,0.35,1.62,0.62,1.42,1.55,0.49
Orsolobidae,Tasmanoonops unicus,Ground hunter,None,2.09,1.05,0.72,1.04,0.62,0.72,0.36,0.54,0.52,0.29,0.68,0.36,0.49,0.49,0.27,0.56,0.25,0.38,0.45,0.27,0.76,0.36,0.59,0.67,0.27
Oxyopidae,Oxyopes elegans,Ambush,QMS83364,5.45,2.35,1.9,3.1,1.85,2.25,0.6,2.25,2.5,1,2.5,0.75,2.3,1.05,0.8,2,0.75,1.95,1.65,0.85,2.5,0.55,1.75,2.475,0.75
Oxyopidae,Oxyopes gracilipes,Ambush,KS101320,5.137,2.164,1.561,2.973,1.778,1.851,0.51,2.153,1.707,1.064,2.02,0.527,1.536,0.648,0.381,1.726,0.5,1.409,0.965,0.455,1.688,0.536,1.839,2.119,1.132
Oxyopidae,Oxyopes macilentus,Ambush,QMS47968,9.25,3.2,2.25,6.05,2.75,3.35,0.9,3.75,3.35,1.2,3.75,1.05,3.375,3.6,1.2,3.3,0.55,2.25,2.6,1.2,3.5,0.85,3.25,3.25,1
Oxyopidae,Oxyopes papuanus,Ambush,KS12864,8.285,2.734,1.908,5.551,2.68,3.409,0.607,2.664,2.232,0.617,2.95,0.934,2.312,2.025,0.513,2.271,0.772,2.284,1.816,0.668,3.135,0.834,2.493,3.542,1.191
Oxyopidae,Oxyopes punctatus,Ambush,QMS49103 ,3.7,1.65,1.65,2.05,1.4,1.7,0.6,1.35,1.9,0.9,1.8,0.7,1.7,1.85,0.85,1.65,0.55,1.45,1.7,0.7,1.7,0.7,1.85,2.225,0.8
Oxyopidae,Oxyopes rubicundus,Ambush,KS90103,5.843,2.108,1.58,3.735,2.043,1.96,0.744,2.253,2.208,1.078,1.965,0.701,2.051,1.966,0.976,1.892,0.607,1.466,1.479,0.488,1.576,0.712,1.553,2.138,0.69
Oxyopidae,Oxyopes variabilis,Ambush,KS128768,5.484,2.557,1.935,2.927,1.949,2.052,0.797,1.857,1.105,0.372,2.251,0.589,1.849,1.064,0.843,1.93,0.726,1.402,0.858,0.322,1.919,0.866,1.383,1.292,0.563
Pholcidae,Crossopriza lyoni,Irregular web,MAGS1379,6.11,2.06,2.22,4.05,NA,15.9,0.9,15.17,20.34,3.1,11.92,0.75,10.2,14.53,1.95,9.15,0.6,7.16,10.63,1.4,11.52,0.68,9.05,12.95,1.54
Pholcidae,Pholcus phalangioides,Irregular web,KS128356,5.589,1.149,1.203,4.44,1.35,10.023,0.651,10.261,8.171,1.19,8.033,0.775,7.396,8.463,1.167,6.366,0.383,5.474,8.427,1.208,8.175,0.585,6.763,11.116,1.163
Pholcidae,Smeringopus natalensis,Irregular web,KS48725,6.823,2.032,1.496,4.791,2.08,10.765,0.898,10.678,16.629,2.303,7.849,1.04,7.444,7.856,2.006,4.988,0.978,5.122,8.317,1.06,7.093,0.731,8.533,6.168,0.37
Pholcidae,Wugigarra tjapukai,Irregular web,QMS49812,NA,1.55,1.2,NA,NA,8.1,0.5,7.1,8.6,1,5.5,0.5,5,7,NA,8.3,0.5,7.05,10.3,NA,NA,0.7,5.7,NA,NA
Pholcidae,Wugigarra wunderlichi,Irregular web,None,3.56,1.4,1.4,2.16,NA,9.35,0.52,8,14.2,2.48,6.4,0.52,6.8,8.6,1.48,4.6,0.52,4.2,6.2,1.2,6.8,0.52,6.2,9.3,1.28
Phrurolithidae,Dorymetaecus spinnipes,Retreat,KS126345,2.348,1.028,1.012,1.32,0.746,0.732,0.28,0.739,0.659,0.357,0.906,0.409,0.786,0.592,0.423,0.803,0.208,0.534,0.651,0.296,1.019,0.32,0.913,0.63,0.415
Physoglenidae,Paraptupua grayi,Irregular web,KS45296,2.765,1.037,0.886,1.728,1.12,3.226,0.321,3.086,2.433,1.329,1.8,0.335,1.618,1.762,0.502,1.261,0.303,0.858,0.652,0.492,2.193,0.288,1.835,1.725,0.827
Pisauridae,Dolomedes albicomus,Ambush,KS42180,15.954,7.262,5.237,8.692,6.942,8.091,2.065,6.371,6.322,3.13,8.231,3.239,6.934,5.531,3.412,8.861,3.107,6.562,5.21,2.784,9.884,3.356,8.335,9.568,4.77
Pisauridae,Dolomedes facetus,Ambush,QMS107111,13.2,7.2,5.28,6,4.56,5.84,2.88,5.52,4.56,2.16,5.84,2.56,5.04,4.56,2.24,6,2.08,4.72,4.56,2.24,6.64,2.48,6,6.32,3.2
Pisauridae,Dolomedes instabilis,Ambush,KS105744,28.857,14.017,12.812,14.84,12.654,11.019,6.189,12.043,9.765,5.923,14.101,5.725,12.994,11.297,4.646,12.791,6.156,10.829,10.416,5.115,12.049,5.656,11.54,12.629,5.798
Pisauridae,Hygropoda lineata,Sheet web,None,8.82,2.94,2.59,5.88,2.47,5.76,1.65,7.65,5.76,3.53,5.29,1.41,5.06,4.71,3.41,4.82,0.94,3.76,3.41,2.47,5.53,1.06,4.12,4.71,3.18
Pisauridae,Megadolomedes australianus,Ambush,KS45337,28.321,13.279,7.871,15.042,6.498,20.266,5.215,22.133,16.971,13.581,19.603,5.466,19.383,17.963,6.266,19.418,4.708,16.643,18.732,9.746,19.804,4.4,18.061,20.912,14.662
Pisauridae,Perenethis venusta,Ambush,QMS22591,9.41,3.46,2.59,5.95,2.05,4.98,1.46,4.93,4.68,2.34,5.12,1.46,4.98,5.12,2.34,3.85,1.07,3.12,3.56,1.37,5.17,0.24,4.29,5.27,1.76
Salticidae,Apricia bracteata,Ambush,Unknown,6.63,2.91,2.11,3.72,NA,1.61,1.05,1.99,0.68,0.5,1.42,0.99,0.93,0.62,0.5,1.36,0.8,0.8,0.87,0.62,1.73,0.142,0.8,1.11,0.56
Salticidae,Arasia mollicoma,Ambush,KS18970,7.132,2.776,2.429,4.356,2.186,2.068,1.061,1.791,1.417,0.553,2.36,1.032,1.938,1.33,0.461,NA,NA,NA,NA,NA,2.321,1.141,2.189,1.63,0.807
Salticidae,Astia hariola,Ambush,KS124575,6.944,2.836,2.229,4.108,2.981,1.848,0.761,0.866,0.495,0.443,1.741,0.706,1.064,0.469,0.455,1.721,0.483,1.206,0.814,0.516,2.33,0.369,1.125,1.027,0.504
Salticidae,Bavia aericeps,Ambush,QMS59465,11.35,4.3,3.35,7.05,4.15,2.55,1.55,2.25,1.25,0.7,2.025,1.2,1.55,1,0.7,1.9,1.15,1,1.25,0.85,2.3,1.2,1.95,1.15,0.75
Salticidae,Bianor concolor,Ambush,None,5.5,2.2,1.7,3.3,2.4,1.1,0.9,0.8,0.6,0.5,0.9,0.7,0.6,0.5,0.4,1.1,0.7,0.6,0.6,0.5,1.1,0.7,0.8,0.8,0.5
Salticidae,Bianor maculatus,Ambush,None,4.4,1.8,1.6,2.6,2,1.1,0.7,0.7,0.6,0.4,0.7,0.5,0.5,0.4,0.3,1,0.5,0.5,0.5,0.4,1.1,0.5,0.7,0.6,0.4
Salticidae,Clynotis severus,Ambush,KS94517,5.661,2.893,2.081,2.768,1.87,1.246,0.472,0.833,0.442,0.313,1.383,0.639,0.565,0.429,0.198,1.355,0.53,1.005,0.727,0.526,1.36,0.459,0.932,0.973,0.464
Salticidae,Cosmophasis bitaeniata,Ambush,QMS90121,7.25,2.75,1.85,4.5,2.7,1.2,0.75,0.6,0.5,NA,0.8,0.7,0.7,0.4,0.2,1.25,0.55,0.75,1.05,1.45,1.15,0.5,1.25,0.95,0.55
Salticidae,Cytaea plumbeiventris,Ambush,KS415,6.622,2.14,2.075,4.482,2.868,1.592,0.947,1.271,0.772,0.657,1.579,0.506,1.146,0.779,0.481,1.466,0.328,0.941,0.66,0.723,1.608,0.421,1.135,0.51,0.372
Salticidae,Euryattus bleekeri,Ambush,None,9.2,4.2,3.2,5,3.1,2.5,1.9,2.3,1.8,1,2.2,1.5,1.5,1.3,0.9,2.6,1.5,1.4,1.6,0.9,2.6,1.3,1.6,1.8,0.9
Salticidae,Evarcha longula,Ambush,None,6.11,2.43,1.62,3.68,NA,1.05,0.74,0.8,0.62,0.43,0.99,0.74,0.56,0.5,0.56,1.24,0.68,0.74,0.68,0.62,1.3,0.62,0.74,0.68,0.56
Salticidae,Hasarius adansonii,Ambush,KS64902,7.731,3.21,2.329,4.521,2.956,1.609,0.808,1.223,0.687,0.514,1.429,0.492,0.977,0.615,0.594,1.349,0.304,1.183,0.586,0.456,1.776,0.557,1.143,0.925,0.547
Salticidae,Helpis kenilworthi,Ambush,KS102239,6.903,2.472,1.995,4.431,2.608,1.431,0.849,1.495,1.071,0.648,1.606,0.941,1.401,0.942,0.64,1.448,0.764,1.412,1.226,0.688,1.689,0.927,1.85,1.442,0.673
Salticidae,Helpis minitabunda,Ambush,KS97256,5.475,2.375,1.65,3.1,1.3,1.85,0.625,1.575,1.125,0.65,1.725,0.5,1,0.975,0.525,1.775,0.375,0.65,1.125,0.5,2.125,0.525,1.25,1.75,0.6
Salticidae,Helpis occidentalis,Ambush,KS92972,9.479,3.288,2.765,6.191,2.712,1.993,0.58,1.409,1.464,0.629,2.191,0.61,1.216,1.059,0.645,1.941,1.016,1.64,1.495,0.586,2.351,1.141,2.336,2,0.675
Salticidae,Holoplatys complanata,Ambush,KS13220,7.916,3.366,2.169,4.55,2.767,NA,NA,NA,NA,NA,1.269,0.62,0.816,0.497,0.329,0.735,0.619,0.646,0.378,0.382,1.478,0.59,1.338,0.787,0.365
Salticidae,Holoplatys planissima,Ambush,KS18876,6.848,3.009,1.729,3.839,1.745,1.423,0.675,1.092,0.693,0.418,1.033,0.537,0.729,0.465,0.4,0.753,0.321,0.5,0.331,0.406,1.387,0.615,1.147,0.776,0.495
Salticidae,Holoplatys semiplanata,Ambush,KS124109,8.333,3.513,2.092,4.82,2.178,1.544,0.875,1.011,0.902,0.421,1.217,0.593,0.766,0.489,0.383,0.906,0.51,0.621,0.577,0.569,1.636,0.803,1.382,0.987,0.584
Salticidae,Hypoblemum albovittatum,Ambush,KS127797,4.617,2.128,1.644,2.489,1.692,1.045,0.441,0.876,0.466,0.289,1.021,0.583,0.516,0.51,0.314,1.452,0.558,0.843,0.989,0.515,1.302,0.5,0.919,0.726,0.585
Salticidae,Hypoblemum griseum,Ambush,None,7.5,2.9,2,4.6,3,1.4,1,0.9,0.8,0.6,1.4,1,0.9,0.8,0.6,1.9,1.1,1,1.2,0.7,1.9,1,1,1.3,0.7
Salticidae,Jacksonoides distinctus,Ambush,KS45953,4.995,1.843,1.679,3.152,1.572,1.898,0.68,0.891,1.31,0.633,1.422,0.566,1.055,0.844,0.608,0.783,0.711,1.091,1.407,0.566,1.173,0.616,1.6,1.318,0.49
Salticidae,Jacksonoides eileenae,Ambush,None,4.56,2.08,1.84,2.48,NA,1.79,1.04,1.53,1.08,0.53,1.47,0.76,1.24,0.92,0.5,1.4,0.67,1.12,1.28,0.56,1.72,0.68,1.47,1.6,0.6
Salticidae,Jacksonoides kochi,Ambush,None,6.8,2.64,2.33,4.16,NA,2.25,1.25,2,1.45,0.7,2.05,1,1.55,1.37,0.63,2.2,0.9,1.7,2,0.7,2.53,0.9,2.2,2.4,0.75
Salticidae,Jacksonoides queenslandicus,Ambush,None,5.4,2.65,2.37,2.75,NA,2.59,1.4,2.33,1.69,0.7,2.3,1.12,1.72,1.5,0.67,2.2,0.96,1.76,2.11,0.73,2.62,0.92,2.27,2.62,0.8
